County,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other","Jailed, unsentenced","Jailed, sentenced",Men jailed,Women jailed,Part I crimes reported to police (number),Violent crimes reported,Property crimes reported,"Adult felony arrests, total (number)",Violent felony arrests,Property felony arrests,Drug felony arrests,Male felony arrests,Female felony arrests,"White, not Latino, felony arrests",Latino felony arrests,African American felony arrests,Asian/other felony arrests,"Total county population, all ages (number), 2011 census adjusted","White, not Latino population",Latino population,Black population,Asian/other population,"Total adult population, age 18-69","Male population, age 18-69","Female population, age 18-69",At Legislative Analyst-estimated cost per prisoner per year,Unnamed: 43,Year,Total adult population in prison (number) as of December 31,"White, not Latino, population imprisoned",Latino population imprisoned,Black population imprisoned,Asian/other population imprisoned,"New felon and parole violator admissions to prison, male","New felon and parole violator admissions to prison, female",New felon and parole violator admissions to prison for violent offenses,New felon and parole violator admissions to prison for property offenses,New felon and parole violator admissions to prison for drug offenses,"Part I crimes reported to police (number), as defined by the California Crime Index (CCI)","Property crimes reported (excluding larceny under $400 and arson, per CCI)","Total county population, all ages (number), using Dept. of Finance table E-2","White, not Latino population age 18-69",Latino population age 18-69,Black population age 18-69,Asian/other population age 18-69,"Total adult population, age 18-69, using Dept. of Finance table P-3",Unnamed: 53,"Imprisonments for 3rd strikes (June 30, 2013)","Imprisonments for 2nd strikes (June 30, 2013)","Part I crimes reported to police (number), as defined by the Criminal Justice Statistics Center","Total county population, all ages (number), July 1, 2013","At Legislative Analyst-estimated cost per prisoner per year, 2013-14","New felon and parole violator admissions to prison, Asian/all other/unknown race","Total county population, all ages (number), July 1, 2014","At Legislative Analyst-estimated cost per prisoner per year, 2014-15",New felon and parole violator admissions to prison who are under age 35 (2014),New felon and parole violator admissions to prison who are age 35 or older (2014),"Total county population, all ages (number), July 1, 2015","Estimated cost per prisoner per year, 2015-16","Total county population, all ages (number), July 1, 2016","Estimated cost per prisoner per year, 2016-17"
Siskiyou,79.0,237.0,16.0,143.0,54.0,34.0,7.0,3.0,49.0,8.0,41.0,80.0,60.0,7.0,7.0,6.0,54.0,25.0,73.0,6.0,608.0,138.0,470.0,589.0,170.0,90.0,166.0,473.0,116.0,455.0000000000001,40.00000000000001,38.0,55.99999999999999,44950.99999999988,24254.240195083697,2712.747410303382,375.64570640907226,2497.1051132173343,29839.73842501348,14880.0,14843.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solano,770.0,1501.0,104.0,969.0,310.0,236.0,90.0,7.0,241.0,36.0,205.0,656.0,213.0,102.0,287.0,54.0,618.0,152.0,673.0,97.0,10089.0,1881.0,8208.0,4213.0,1244.0,1143.0,1061.0,3218.0,995.0,1737.9999999999998,580.0000000000002,1596.000000000001,299.0,413219.9999999991,122313.868916335,61203.61440161561,41014.62013103773,55851.42537379975,280383.5288227881,140873.0,139120.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,909.0,1147.0,75.0,752.0,236.0,148.0,44.0,7.0,212.0,27.0,185.0,438.0,210.0,163.0,36.0,29.0,503.0,406.0,801.0,108.0,6066.0,1876.0,4190.0,4962.0,1266.0,1038.0,1840.0,3794.0,1168.0,3134.000000000002,1202.999999999999,350.99999999999983,274.00000000000006,484257.9999999994,228879.7915474628,74477.66191421919,5019.2652178455755,23244.62275685405,331621.3414363816,164559.0,166891.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanislaus,1065.0,2281.0,166.0,1152.0,689.0,435.0,247.0,11.0,594.0,111.0,483.0,1023.0,498.0,328.0,129.0,68.0,777.0,288.0,927.0,138.0,14738.0,2672.0,12066.0,7817.0,1829.0,2165.0,1887.0,5979.0,1838.0,3853.999999999999,2914.000000000001,695.9999999999999,353.0,515311.0000000005,165632.19027188004,127807.59339074545,8324.934907292123,28419.427739335573,330184.1463092532,162970.0,166423.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sutter,186.0,372.0,46.0,202.0,110.0,66.0,31.0,3.0,29.0,7.0,22.0,225.0,121.0,73.0,20.0,11.0,151.0,35.0,154.0,32.0,1633.0,359.0,1274.0,1111.0,361.0,300.0,212.0,806.0,305.0,669.0,278.0,77.0,86.99999999999999,94799.99999999988,31778.967733603535,16073.600887362794,1186.909190727618,11283.997874206085,60323.475685900026,30033.0,30214.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tehama,172.0,445.0,45.0,213.0,95.0,126.0,37.0,28.0,87.0,20.0,67.0,210.0,135.0,62.0,4.0,9.0,128.0,44.0,146.0,26.0,1242.0,369.0,873.0,1129.0,231.0,255.0,485.0,854.0,275.0,818.0,236.99999999999991,23.0,51.00000000000002,63635.00000000008,30179.22498899812,7955.305462799504,222.3753936172239,2175.650234655979,40532.55608007082,20193.0,20263.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,51.0,51.0,2.0,34.0,10.0,6.0,3.0,4.0,10.0,4.0,6.0,15.0,14.0,1.0,0.0,0.0,20.0,31.0,44.0,7.0,131.0,34.0,97.0,278.0,54.0,41.0,123.0,224.0,54.0,239.00000000000009,24.0,1.0,14.000000000000002,13883.0,7977.4439685433235,626.6440344489562,31.80541904495716,857.1812717455905,9493.074693782826,4961.0,4539.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulare,1221.0,2790.0,171.0,1684.0,585.0,411.0,171.0,12.0,659.0,107.0,552.0,942.0,249.0,623.0,44.0,26.0,724.0,497.0,1056.0,165.0,11182.0,2075.0,9107.0,6693.0,1835.0,1555.0,1770.0,5247.0,1446.0,2074.9999999999995,4095.0,347.0,176.00000000000003,443638.0,97030.4572485048,155212.1787059172,3685.217181680273,14418.306942927184,270346.16007902945,135582.0,133797.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuolumne,113.0,231.0,18.0,128.0,40.0,56.0,20.0,2.0,69.0,6.0,63.0,60.0,46.0,9.0,2.0,3.0,65.0,48.0,93.0,20.0,842.0,121.0,721.0,804.0,147.0,141.0,303.0,562.0,242.0,693.0000000000001,68.0,16.0,27.000000000000004,54961.0000000001,30764.104895717624,4101.297148783483,1089.364084291151,1839.8419355111837,37794.60806430344,20685.0,17191.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventura,1488.0,2094.0,122.0,1286.0,400.0,366.0,121.0,2.0,434.0,75.0,359.0,742.0,232.0,434.0,57.0,19.0,1020.0,468.0,1273.0,215.0,9559.0,1748.0,7811.0,7824.0,1958.0,1919.0,2189.0,6012.0,1812.0,3079.0000000000005,4157.000000000002,341.00000000000006,246.99999999999991,825378.0,278038.59459077206,208394.26968516968,9583.432469717556,50721.05473068764,546737.351476347,272820.0,272108.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yolo,407.0,1035.0,68.0,472.0,278.0,266.0,95.0,7.0,258.0,27.0,231.0,444.0,185.0,159.0,56.0,44.0,367.0,40.0,354.0,53.0,3586.0,512.0,3074.0,2368.0,536.0,577.0,665.0,1808.0,560.0,1120.0000000000005,786.0,294.0000000000001,168.00000000000003,200995.0,73297.77073643496,38555.45688961125,3626.41989849175,26761.73255207468,142241.38007661264,68870.0,72740.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuba,402.0,482.0,24.0,309.0,80.0,76.0,27.0,5.0,59.0,13.0,46.0,185.0,119.0,41.0,16.0,9.0,362.0,40.0,352.0,50.0,1360.0,250.0,1110.0,1123.0,376.0,268.0,226.0,853.0,270.0,762.0000000000002,190.00000000000003,93.0,78.00000000000001,72336.00000000015,29277.319404921294,10223.617718106114,1439.1251462514103,5592.330771266752,46532.393040545576,23301.0,22958.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alameda,3329.0,3775.0,143.0,3271.0,344.0,181.0,31.0,9.0,621.0,484.0,137.0,999.0,104.0,203.0,617.0,75.0,2458.0,871.0,3071.0,258.0,43811.0,10785.0,33026.0,12655.0,2960.0,3036.0,3791.0,10090.0,2565.0,3082.999999999999,2649.0,5762.999999999995,1160.0,1525655.0,377868.60272295703,227944.23509679615,132056.50989346363,329565.30194220087,1067434.6496554178,526173.5262173739,551908.7469898205,51889.0,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,7.0,51.0,22.0,8.0,8.0,4.0,20.0,2.0,21.0,0.0,0.0,1.0,1109.0,607.396291972115,33.092286548072074,0.0,140.85545637438076,781.3440348945678,410.86568313411254,354.2703351599689,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amador,99.0,139.0,16.0,75.0,25.0,34.0,19.0,2.0,54.0,41.0,13.0,55.0,41.0,8.0,4.0,2.0,62.0,37.0,83.0,16.0,623.0,98.0,525.0,450.0,90.0,50.0,138.0,310.0,140.0,349.9999999999999,56.00000000000001,9.0,35.0,37366.0,20181.86677847891,3417.2119854487555,877.3579770840399,1320.4320352713148,25796.868776283023,14993.74093012582,11564.03761289461,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,588.0,1030.0,108.0,582.0,214.0,246.0,124.0,21.0,164.0,122.0,42.0,408.0,283.0,61.0,42.0,22.0,431.0,157.0,527.0,61.0,3718.0,576.0,3142.0,2079.0,536.0,462.0,719.0,1572.0,507.0,1643.9999999999995,196.99999999999991,149.0,88.99999999999999,220570.0,114349.68110584868,20382.709415848447,2271.925037903272,13187.39853100013,150191.71409060052,75020.47588215585,73814.40666454066,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calaveras,71.0,102.0,6.0,65.0,16.0,15.0,9.0,1.0,14.0,13.0,1.0,46.0,41.0,3.0,0.0,2.0,33.0,38.0,57.0,14.0,817.0,120.0,697.0,421.0,143.0,68.0,118.0,308.0,113.0,355.0,41.0,13.0,12.0,45002.0,25466.58644609083,2964.2603771100617,227.12327522862512,1548.0959580974486,30206.06605652697,15392.8605440141,15326.716331741583,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colusa,58.0,72.0,5.0,51.0,15.0,5.0,2.0,1.0,317.0,231.0,86.0,17.0,5.0,9.0,2.0,1.0,38.0,20.0,50.0,8.0,372.0,45.0,327.0,263.0,46.0,46.0,50.0,208.0,55.0,130.0,105.00000000000004,13.999999999999998,14.000000000000009,21564.0,5745.932895687923,7182.276680240424,102.27285927149656,514.9022386335164,13545.38467383336,6964.019875200165,6638.567750767994,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa,1351.0,1787.0,65.0,1468.0,208.0,92.0,9.0,3.0,7.0,4.0,3.0,532.0,149.0,138.0,217.0,28.0,957.0,394.0,1188.0,163.0,24061.0,3928.0,20133.0,9880.0,2217.0,2742.0,2927.0,7713.0,2167.0,3920.000000000001,1960.0,3439.000000000002,561.0000000000002,1061132.0,351859.9975679625,164343.93560731696,63694.75561162902,132073.20764089643,711971.896427805,343373.7768394772,365987.4169060178,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Del Norte,102.0,111.0,5.0,75.0,16.0,10.0,1.0,1.0,15.0,9.0,6.0,28.0,18.0,2.0,2.0,6.0,57.0,45.0,84.0,18.0,683.0,160.0,523.0,520.0,168.0,85.0,172.0,382.0,138.0,424.99999999999994,24.000000000000004,13.0,58.0,28520.0,12847.295616858226,3717.259636127201,1062.9973538536844,2282.540527397072,19910.09313423618,11538.6039924987,8312.010284482956,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Dorado,324.0,373.0,27.0,240.0,75.0,52.0,28.0,2.0,83.0,65.0,18.0,140.0,113.0,17.0,4.0,6.0,140.0,184.0,283.0,41.0,2483.0,390.0,2093.0,1658.0,458.0,340.0,400.0,1246.0,412.0,1388.9999999999995,143.00000000000003,60.999999999999986,65.0,181653.0,99255.44702527724,13795.320424202968,882.6493009409489,8704.28525298198,122637.70200340312,62476.64871770489,61564.880381578034,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,2353.0,4055.0,226.0,2698.0,765.0,401.0,220.0,24.0,998.0,795.0,203.0,1631.0,379.0,870.0,272.0,110.0,1669.0,684.0,2043.0,310.0,31947.0,5803.0,26144.0,16064.0,3556.0,3123.0,3593.0,13053.0,3011.0,4165.000000000001,8901.999999999998,2125.000000000001,871.9999999999998,941965.0,209377.38020037548,287651.81430119753,30075.58996894605,69764.1595128791,596868.9439833981,301274.7787602097,299934.33117116126,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn,89.0,104.0,2.0,65.0,13.0,18.0,3.0,5.0,23.0,21.0,2.0,45.0,21.0,20.0,4.0,0.0,67.0,22.0,80.0,9.0,450.0,65.0,385.0,452.0,131.0,94.0,113.0,336.0,116.0,270.0,145.0,12.0,25.000000000000004,28201.0,10223.30449809404,6490.7220625054,120.91425230816846,1027.378150808741,17862.318963716352,9093.70362978114,8796.760746060205,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,370.0,485.0,30.0,318.0,68.0,89.0,31.0,7.0,45.0,41.0,4.0,216.0,147.0,23.0,10.0,36.0,261.0,109.0,319.0,51.0,2809.0,440.0,2369.0,1891.0,444.0,336.0,579.0,1426.0,465.0,1498.9999999999998,132.99999999999991,65.99999999999999,193.0,134484.0,76078.29231413988,8816.437196304043,1121.448129619344,10106.087626196342,96122.2652662596,49590.73309646721,46654.72404904861,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial,465.0,357.0,19.0,208.0,69.0,74.0,18.0,6.0,56.0,41.0,15.0,179.0,20.0,148.0,7.0,4.0,361.0,104.0,408.0,57.0,3616.0,452.0,3164.0,2443.0,535.0,589.0,783.0,1922.0,521.0,471.0000000000001,1786.000000000001,124.0,62.0,178169.0,16665.70699311593,88599.4910464846,4756.111721148754,2907.315943290436,112928.62570403972,59132.38444165441,55672.15577751464,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inyo,51.0,52.0,4.0,38.0,8.0,5.0,1.0,0.0,4.0,3.0,1.0,21.0,10.0,3.0,0.0,8.0,26.0,25.0,43.0,8.0,227.0,68.0,159.0,201.0,70.0,54.0,46.0,156.0,45.0,110.0,31.999999999999993,3.0,56.0,18470.0,8423.821837863734,2190.7869772213426,84.52211795325388,1669.588942099812,12368.719875138144,6538.6560911276065,6047.095114269764,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kern,2456.0,4119.0,268.0,2156.0,871.0,925.0,487.0,27.0,1362.0,955.0,407.0,1997.0,715.0,954.0,301.0,27.0,1787.0,669.0,2192.0,264.0,24718.0,4447.0,20271.0,13030.0,3658.0,3331.0,3381.0,10374.0,2656.0,4961.999999999998,5982.0,1873.9999999999995,211.99999999999997,848553.0,224545.17523235187,253674.85247570983,30820.343403641007,35426.68348024564,544467.0545919484,289947.430623504,260375.1640761542,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings,433.0,1282.0,103.0,730.0,237.0,267.0,111.0,14.0,390.0,258.0,132.0,462.0,131.0,239.0,63.0,29.0,252.0,181.0,376.0,57.0,2446.0,542.0,1904.0,1650.0,385.0,307.0,371.0,1249.0,401.0,540.0,866.9999999999997,158.0,85.00000000000001,152739.0,38289.37342998716,48174.35340999478,8954.033434055578,6442.692297646936,101860.45257168444,59928.20265286025,42639.70407171609,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,264.0,333.0,16.0,197.0,55.0,45.0,27.0,5.0,73.0,61.0,12.0,107.0,71.0,24.0,7.0,5.0,163.0,101.0,223.0,41.0,1378.0,331.0,1047.0,1064.0,352.0,127.0,324.0,790.0,274.0,770.0,139.99999999999997,79.0,75.0,63703.0,33271.04060980487,6703.928488945333,794.829923275902,2770.3677587309285,43540.166780757034,22817.010515143535,22137.62363308529,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassen,74.0,113.0,7.0,70.0,18.0,15.0,5.0,2.0,34.0,20.0,14.0,50.0,38.0,6.0,2.0,4.0,45.0,29.0,61.0,13.0,391.0,120.0,271.0,315.0,106.0,60.0,56.0,229.0,86.0,254.99999999999997,27.0,6.0,27.0,34283.0,16801.28291249031,4875.346202283272,2921.5397141411713,1634.9989957188263,26233.16782463358,18169.91518838091,7888.13696692025,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,15484.0,47804.0,2765.0,32754.0,7752.0,6606.0,2239.0,390.0,15061.0,11850.0,3211.0,16095.0,2516.0,7662.0,5306.0,611.0,9543.0,5941.0,13671.0,1813.0,194722.0,46116.0,148606.0,104171.0,27339.0,25010.0,31941.0,83329.0,20842.0,20637.000000000007,51045.999999999985,27431.00000000003,5057.000000000003,9857567.0,1967714.972340622,3093139.9732110524,564281.5200245851,1120571.2118304567,6745707.677406716,3343225.2666093237,3438934.3322408064,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madera,342.0,499.0,65.0,346.0,87.0,103.0,47.0,3.0,175.0,135.0,40.0,191.0,53.0,102.0,23.0,13.0,267.0,75.0,290.0,52.0,3643.0,799.0,2844.0,1405.0,419.0,293.0,313.0,1105.0,300.0,505.9999999999998,774.9999999999998,82.0,42.00000000000001,152281.0,38671.32187369693,50280.87025238448,4118.469456122882,4441.227955942333,97511.88953814664,46486.57014824571,51580.65553909169,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marin,281.0,355.0,7.0,212.0,78.0,36.0,12.0,0.0,117.0,69.0,48.0,81.0,33.0,19.0,27.0,2.0,207.0,74.0,242.0,39.0,3366.0,541.0,2825.0,1494.0,482.0,346.0,395.0,1127.0,367.0,836.0000000000002,316.0000000000001,269.0,72.99999999999999,254114.0,125690.36632329902,27680.006201580414,5683.323010795062,14813.518596335838,173867.21413201033,84631.8679070466,88004.25524961157,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariposa,39.0,56.0,4.0,36.0,11.0,4.0,2.0,1.0,15.0,9.0,6.0,14.0,10.0,2.0,0.0,2.0,17.0,22.0,29.0,10.0,283.0,55.0,228.0,222.0,68.0,41.0,57.0,173.0,49.0,163.0,39.0,3.0,16.999999999999996,17963.0,10334.357529584158,1043.3444694209609,98.6419898374731,801.3231593297842,12277.667148172375,6347.59418652078,6148.433812227493,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendocino,206.0,295.0,15.0,219.0,20.0,45.0,8.0,4.0,31.0,29.0,2.0,102.0,59.0,21.0,7.0,15.0,125.0,81.0,176.0,30.0,1366.0,483.0,883.0,1277.0,369.0,223.0,398.0,981.0,296.0,877.0,201.00000000000003,57.00000000000001,142.0,87669.0,42859.980623394906,11975.000096351072,423.8831738578454,4612.62562902677,59871.48952263059,30550.092421963094,29703.341510557544,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merced,584.0,843.0,34.0,581.0,141.0,74.0,34.0,1.0,216.0,175.0,41.0,268.0,68.0,151.0,32.0,17.0,450.0,134.0,525.0,59.0,6637.0,1409.0,5228.0,3207.0,828.0,799.0,831.0,2528.0,679.0,1076.0,1638.0,338.00000000000006,155.0,258678.0,56951.19425492093,84348.8851359701,5841.357772358742,14872.341552663303,162013.77871591307,81880.64436779855,79747.4204353328,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modoc,23.0,21.0,0.0,16.0,1.0,4.0,4.0,1.0,4.0,4.0,0.0,6.0,5.0,0.0,0.0,1.0,16.0,7.0,17.0,6.0,135.0,42.0,93.0,89.0,30.0,13.0,19.0,63.0,26.0,77.0,7.000000000000002,0.0,5.0,9522.0,5037.198095248592,780.12829982636,53.13807030669187,345.5243087602048,6215.988774141848,3152.365545886543,3145.7273174909324,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mono,24.0,18.0,2.0,11.0,6.0,1.0,0.0,0.0,7.0,5.0,2.0,5.0,4.0,1.0,0.0,0.0,12.0,12.0,21.0,3.0,257.0,49.0,208.0,122.0,39.0,28.0,45.0,103.0,19.0,80.00000000000001,28.999999999999996,4.0,9.000000000000002,14164.0,7580.467655190523,2414.196678179637,29.37878842535669,428.3677379885448,10452.41085978406,5446.711978988343,5105.257746003192,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,1045.0,1568.0,92.0,1077.0,218.0,214.0,72.0,4.0,414.0,372.0,42.0,674.0,149.0,416.0,86.0,23.0,808.0,237.0,906.0,139.0,8120.0,1951.0,6169.0,3772.0,1179.0,836.0,995.0,2978.0,794.0,1055.0,2248.0000000000005,308.0000000000001,161.00000000000009,419710.0,94672.92610582258,148544.42348292403,8703.575742077148,25058.37991232949,276979.30524315324,144906.2792265317,132218.34316164022,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napa,253.0,341.0,11.0,209.0,55.0,40.0,10.0,5.0,89.0,67.0,22.0,129.0,74.0,41.0,9.0,5.0,182.0,71.0,229.0,24.0,1937.0,452.0,1485.0,1441.0,308.0,347.0,349.0,1129.0,312.0,791.0000000000003,423.0000000000001,169.0,57.99999999999999,137732.0,52586.714298817205,28520.619883141673,1804.261431423313,8916.689795849306,91828.2854092315,45749.462505387506,46012.376892664026,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,178.0,109.0,8.0,76.0,22.0,4.0,1.0,1.0,25.0,19.0,6.0,38.0,31.0,4.0,0.0,3.0,102.0,76.0,156.0,22.0,1157.0,268.0,889.0,707.0,210.0,134.0,251.0,542.0,165.0,622.9999999999999,52.99999999999999,10.0,21.000000000000007,98155.0,57863.47063902763,5725.439817296465,245.60187278788095,3156.8866423616273,66991.39897147361,33308.892043033426,33742.10080723223,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,6334.0,7613.0,375.0,4951.0,1395.0,1055.0,468.0,15.0,1722.0,1330.0,392.0,3300.0,1214.0,1623.0,232.0,231.0,3414.0,2920.0,5526.0,808.0,39941.0,6509.0,33432.0,21768.0,4993.0,5516.0,7706.0,16836.0,4932.0,9468.999999999998,9074.999999999987,1241.9999999999989,1981.9999999999995,3043964.0,934758.77894508,658635.9898901342,35324.936383470056,440133.4569958476,2068853.162214532,1014564.2653273476,1050559.4083153878,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Placer,544.0,756.0,45.0,371.0,206.0,126.0,40.0,5.0,296.0,243.0,53.0,242.0,171.0,31.0,25.0,15.0,349.0,195.0,469.0,75.0,5064.0,694.0,4370.0,3251.0,628.0,945.0,798.0,2332.0,919.0,2429.0,344.00000000000006,294.00000000000006,184.00000000000009,355687.0,175565.19884445853,30397.15413802488,3188.737480943652,23788.02853736456,232939.1190007916,113768.40521189055,118779.65654504782,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumas,42.0,52.0,3.0,33.0,9.0,8.0,3.0,1.0,9.0,9.0,0.0,29.0,27.0,1.0,0.0,1.0,20.0,22.0,31.0,11.0,315.0,104.0,211.0,251.0,76.0,41.0,70.0,190.0,61.0,226.99999999999991,13.0,5.0,6.0,19774.0,11826.067018484771,1064.130249815366,129.13087430845687,741.5244863513835,13760.852628959978,7049.53180147885,6947.639820711799,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside,3751.0,9546.0,605.0,6270.0,1813.0,1343.0,548.0,55.0,3074.0,2548.0,526.0,3289.0,1042.0,1564.0,604.0,79.0,2543.0,1208.0,3266.0,485.0,46321.0,6621.0,39700.0,18412.0,4636.0,4746.0,5586.0,14309.0,4103.0,7005.999999999995,8090.0,2675.0,641.0000000000001,2226552.0,585714.841211572,613710.0097588631,92242.9906870261,128597.90135327354,1420265.743010735,723927.211511958,728030.9416965074,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,3893.0,6838.0,336.0,4923.0,1062.0,699.0,225.0,18.0,2339.0,1768.0,571.0,2184.0,713.0,392.0,871.0,208.0,2193.0,1700.0,3510.0,383.0,36130.0,7481.0,28649.0,15573.0,4242.0,3734.0,4287.0,12225.0,3348.0,6257.999999999998,2929.0,5278.000000000001,1107.9999999999995,1430537.0,487270.9616859715,190757.8618234992,95458.1492769956,183481.60705565847,956968.5798421248,472420.7661052093,493837.20918011374,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Benito,129.0,136.0,7.0,77.0,23.0,34.0,18.0,0.0,24.0,17.0,7.0,55.0,13.0,38.0,3.0,1.0,89.0,40.0,110.0,19.0,832.0,196.0,636.0,499.0,184.0,83.0,122.0,373.0,126.0,186.0,297.0,11.0,5.000000000000001,55684.0,14132.63458331594,20011.37439418769,291.76031762729355,2070.065004381475,36505.8342995124,17860.521487255766,18007.34904628804,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,5249.0,9890.0,668.0,6026.0,2131.0,1505.0,540.0,76.0,2782.0,2153.0,629.0,4959.0,1477.0,2192.0,1198.0,92.0,4061.0,1188.0,4489.0,760.0,45363.0,8551.0,36812.0,27979.0,7108.0,8430.0,8319.0,21339.0,6640.0,9861.0,11776.000000000016,5496.000000000002,845.9999999999999,2059630.0,482993.2834934023,618980.5203079014,117760.7867765864,120926.65433758964,1340661.2449154798,666266.3670116902,679891.2277768216,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,4993.0,10246.0,578.0,6593.0,1974.0,1533.0,369.0,76.0,3719.0,3039.0,680.0,3381.0,1113.0,1235.0,794.0,239.0,2745.0,2248.0,4235.0,758.0,52252.0,11009.0,41243.0,27107.0,7672.0,5976.0,8565.0,20686.0,6421.0,11655.999999999998,8648.999999999998,5016.999999999995,1785.0000000000016,3131254.0,1078758.5081079644,648316.9514827866,106215.37518509658,317280.22040918213,2150571.0551850297,1092589.7825342123,1077873.552275731,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,1492.0,1211.0,58.0,963.0,152.0,108.0,3.0,1.0,206.0,163.0,43.0,421.0,80.0,50.0,229.0,62.0,1265.0,227.0,1360.0,132.0,15746.0,5465.0,10281.0,8115.0,2032.0,1234.0,1700.0,6623.0,1492.0,2693.60818476548,2264.220482048278,1345.3501836827947,411.94079831785865,814088.0,276895.0275123547,92794.64181528008,33926.08886376183,217009.6042982875,620625.3624896841,324163.8255570627,303895.57967857004,,*Adjusted for San Francisco underreporting of arrests using reported-offense arrest change.,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
