County,Total adult population in prison (number) as of December 31,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,"White, not Latino, population imprisoned",Latino population imprisoned,Black population imprisoned,Asian/other population imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, male","New felon and parole violator admissions to prison, female","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other/unknown race",New felon and parole violator admissions to prison for violent offenses,New felon and parole violator admissions to prison for property offenses,New felon and parole violator admissions to prison for drug offenses,"Jailed, unsentenced","Jailed, sentenced",Men jailed,Women jailed,"Part I crimes reported to police (number), as defined by the Criminal Justice Statistics Center",Violent crimes reported,Property crimes reported,"Adult felony arrests, total (number)",Violent felony arrests,Property felony arrests,Drug felony arrests,Male felony arrests,Female felony arrests,"White, not Latino, felony arrests",Latino felony arrests,African American felony arrests,Asian/other felony arrests,"Total county population, all ages (number), July 1, 2016","White, not Latino population age 18-69",Latino population age 18-69,Black population age 18-69,Asian/other population age 18-69,"Total adult population, age 18-69, using Dept. of Finance table P-3","Male population, age 18-69","Female population, age 18-69","Estimated cost per prisoner per year, 2016-17"
Placer,718.0,301.49,679.0,39.0,496.0,95.0,72.0,55.0,410.0,144.0,45.0,11.0,1.0,299.0,46.0,253.0,318.0,291.0,27.0,229.0,44.0,27.0,18.0,122.0,90.0,24.0,137.81,163.68,251.68,49.81,7702.0,622.0,7080.0,2378.0,623.0,565.0,302.0,1784.0,594.0,1741.0,282.0,248.0,107.0,376092.0,187791.0,31771.0,3581.0,24933.0,248076.0,122820.0,125256.0,73694.0
Plumas,42.0,0.0,39.0,3.0,39.0,1.0,0.0,2.0,30.0,7.0,1.0,0.0,0.0,10.0,0.0,10.0,20.0,17.0,3.0,17.0,0.0,1.0,2.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,479.0,120.0,359.0,173.0,71.0,33.0,35.0,129.0,44.0,143.0,6.0,7.0,17.0,19494.0,10743.0,1104.0,146.0,799.0,12792.0,6384.0,6408.0,73694.0
Riverside,9685.0,5375.0,9192.0,493.0,2458.0,4592.0,2257.0,378.0,7155.0,1174.0,563.0,125.0,15.0,3313.0,410.0,2903.0,2695.0,2502.0,193.0,737.0,1320.0,552.0,86.0,1400.0,598.0,212.0,2528.0,1204.0,3312.0,420.0,72780.0,7447.0,65333.0,14783.0,5481.0,3728.0,1726.0,11682.0,3101.0,4739.0,7279.0,2219.0,546.0,2360727.0,587945.0,706549.0,99022.0,140623.0,1534139.0,767963.0,766176.0,73694.0
Sacramento,6970.0,2090.0,6654.0,316.0,1795.0,1356.0,3110.0,709.0,5207.0,710.0,372.0,53.0,27.0,2486.0,444.0,2042.0,1862.0,1755.0,107.0,535.0,415.0,757.0,155.0,824.0,373.0,178.0,2114.0,1503.0,3207.0,410.0,46839.0,7734.0,39105.0,12495.0,4712.0,2990.0,1632.0,9962.0,2533.0,4632.0,2348.0,4491.0,1024.0,1506677.0,493640.0,216700.0,103629.0,201703.0,1015672.0,501248.0,514424.0,73694.0
San Benito,116.0,0.0,112.0,4.0,22.0,90.0,1.0,3.0,88.0,10.0,7.0,1.0,0.0,34.0,7.0,27.0,30.0,28.0,2.0,7.0,23.0,0.0,0.0,20.0,4.0,2.0,80.0,36.0,96.0,20.0,698.0,155.0,543.0,548.0,170.0,64.0,153.0,433.0,115.0,138.0,386.0,9.0,15.0,58014.0,15002.0,21713.0,270.0,1793.0,38778.0,19435.0,19343.0,73694.0
San Bernardino,7992.0,6219.0,7592.0,400.0,1770.0,3493.0,2397.0,332.0,5957.0,872.0,393.0,51.0,4.0,2596.0,370.0,2226.0,3067.0,2874.0,193.0,710.0,1451.0,816.0,90.0,1575.0,581.0,238.0,4448.0,1771.0,5374.0,845.0,65406.0,10469.0,54937.0,23458.0,8264.0,6820.0,3234.0,18502.0,4956.0,6536.0,11146.0,4876.0,900.0,2147933.0,471083.0,694904.0,122889.0,129100.0,1417976.0,705626.0,712350.0,73694.0
San Diego,8736.0,5403.35,8319.0,417.0,2331.0,3276.0,2386.0,743.0,6447.0,1200.0,423.0,37.0,9.0,3232.0,496.0,2736.0,2401.0,2189.0,212.0,685.0,980.0,561.0,175.0,1183.0,556.0,216.0,3010.84,2392.5099999999998,4336.97,1066.38,72315.0,10959.0,61356.0,21200.0,7821.0,4115.0,2401.0,16623.0,4577.0,8332.0,7388.0,3885.0,1595.0,3300891.0,1068855.0,709779.0,111981.0,329215.0,2219830.0,1130290.0,1089540.0,73694.0
San Francisco**,854.0,1310.0,829.0,25.0,115.0,131.0,481.0,127.0,769.0,61.0,4.0,8.0,2.0,163.0,39.0,124.0,129.0,121.0,8.0,15.0,24.0,75.0,15.0,84.0,29.0,2.0,928.0,382.0,1278.0,32.0,54706.0,6269.0,48437.0,7160.0,1983.0,1109.0,855.0,6105.0,1055.0,3017.0,53.0,2955.0,1135.0,871185.0,293909.0,97347.0,34542.0,227555.0,653353.0,337293.0,316060.0,73694.0
San Joaquin,2870.0,1460.0,2758.0,112.0,604.0,1057.0,880.0,329.0,2245.0,245.0,107.0,3.0,2.0,679.0,90.0,589.0,845.0,809.0,36.0,202.0,335.0,252.0,56.0,394.0,137.0,74.0,1080.0,380.0,1278.0,182.0,28634.0,6005.0,22629.0,5548.0,2361.0,1084.0,471.0,4388.0,1160.0,2016.0,1888.0,1226.0,418.0,738873.0,172648.0,184381.0,36389.0,87945.0,481363.0,241723.0,239640.0,73694.0
San Luis Obispo,699.0,659.0,664.0,35.0,357.0,231.0,91.0,20.0,483.0,98.0,41.0,0.0,0.0,236.0,54.0,182.0,227.0,211.0,16.0,126.0,81.0,17.0,3.0,111.0,51.0,16.0,486.0,173.0,650.0,9.0,7802.0,1115.0,6687.0,1608.0,636.0,389.0,179.0,1260.0,348.0,1064.0,388.0,92.0,64.0,278917.0,135830.0,40677.0,4607.0,12235.0,193349.0,101154.0,92195.0,73694.0
