County,Total adult population in prison (number) as of December 31,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,"White, not Latino, population imprisoned",Latino population imprisoned,Black population imprisoned,Asian/other population imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,"Imprisonments for 3rd strikes (June 30, 2013)","Imprisonments for 2nd strikes (June 30, 2013)","New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, male","New felon and parole violator admissions to prison, female","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other",New felon and parole violator admissions to prison for violent offenses,New felon and parole violator admissions to prison for property offenses,New felon and parole violator admissions to prison for drug offenses,"Jailed, unsentenced","Jailed, sentenced",Men jailed,Women jailed,"Part I crimes reported to police (number), as defined by the Criminal Justice Statistics Center",Violent crimes reported,Property crimes reported,"Adult felony arrests, total (number)",Violent felony arrests,Property felony arrests,Drug felony arrests,Male felony arrests,Female felony arrests,"White, not Latino, felony arrests",Latino felony arrests,African American felony arrests,Asian/other felony arrests,"Total county population, all ages (number), July 1, 2013","White, not Latino population age 18-69",Latino population age 18-69,Black population age 18-69,Asian/other population age 18-69,"Total adult population, age 18-69, using Dept. of Finance table P-3","Male population, age 18-69","Female population, age 18-69","At Legislative Analyst-estimated cost per prisoner per year, 2013-14",
Marin,297.0,292.0,283.0,14.0,136.0,53.0,83.0,25.0,206.0,53.0,13.0,7.0,1.0,111.0,39.0,72.0,54.0,46.0,8.0,23.0,10.0,19.0,2.0,31.0,14.0,3.0,225.0,67.0,250.0,42.0,5503.0,491.0,5012.0,1651.0000000000002,406.00000000000045,399.0000000000003,583.9999999999998,1291.0000000000002,360.00000000000006,909.0,359.0,310.00000000000006,73.0,258248.0,122589.0,29165.0,5404.0,15707.0,172865.0,85921.0,86944.0,,
Mariposa,62.0,50.0,60.0,2.0,50.0,3.0,2.0,7.0,42.0,9.0,1.0,0.0,0.0,20.0,6.0,14.0,19.0,18.0,1.0,15.0,2.0,0.0,2.0,10.0,4.0,1.0,30.0,20.0,42.0,8.0,390.0,84.0,306.0,249.0,79.00000000000004,39.0,80.00000000000001,192.0,57.000000000000014,194.0,30.000000000000004,7.0,18.0,18154.0,10034.0,1113.0,126.0,885.0,12158.0,6239.0,5919.0,,
Mendocino,328.0,237.0,313.0,15.0,191.0,55.0,19.0,63.0,234.0,22.0,29.0,7.0,3.0,47.0,4.0,43.0,115.0,109.0,6.0,67.0,18.0,9.0,21.0,58.0,13.0,18.0,152.0,85.0,198.0,39.0,2323.0,472.0,1851.0,1536.0000000000005,428.0,277.0000000000001,532.0000000000001,1185.0000000000005,351.00000000000006,1052.0000000000002,247.0,61.000000000000014,175.99999999999997,88098.0,41759.0,12736.0,446.0,4953.0,59894.0,30459.0,29435.0,,
Merced,933.0,706.0,906.0,27.0,222.0,478.0,129.0,104.0,637.0,133.0,70.0,30.0,4.0,271.0,34.0,237.0,356.0,344.0,12.0,84.0,172.0,36.0,64.0,167.0,70.0,45.0,627.0,79.0,631.0,75.0,9651.0,1555.0,8096.0,3229.000000000001,735.0,760.9999999999998,1032.0000000000005,2580.0000000000005,649.0000000000002,1078.0000000000005,1645.0000000000002,368.0,138.0,264652.0,55033.0,89408.0,6056.0,16345.0,166842.0,84604.0,82238.0,,
Modoc,25.0,29.0,23.0,2.0,13.0,5.0,1.0,6.0,21.0,2.0,2.0,1.0,0.0,7.0,2.0,5.0,12.0,10.0,2.0,8.0,1.0,1.0,2.0,10.0,1.0,1.0,15.0,14.0,25.0,4.0,237.0,69.0,168.0,221.0,58.000000000000014,40.00000000000003,61.00000000000001,171.99999999999997,49.000000000000014,160.00000000000003,30.000000000000004,2.0000000000000004,28.999999999999996,9603.0,4804.0,901.0,69.0,440.0,6214.0,3131.0,3083.0,,
Mono,23.0,36.0,21.0,2.0,10.0,9.0,0.0,4.0,16.0,3.0,0.0,0.0,0.0,5.0,0.0,5.0,7.0,6.0,1.0,4.0,1.0,0.0,2.0,6.0,0.0,0.0,18.0,18.0,29.0,7.0,250.0,29.0,221.0,157.99999999999997,30.000000000000014,16.999999999999993,82.00000000000001,122.99999999999996,35.00000000000001,108.0,27.999999999999993,3.0,19.0,13903.0,7325.0,2478.0,37.0,519.0,10359.0,5551.0,4808.0,,
Monterey,1645.0,942.0,1575.0,70.0,281.0,1018.0,193.0,153.0,1156.0,179.0,151.0,49.0,4.0,484.0,42.0,442.0,465.0,424.0,41.0,78.0,256.0,35.0,96.0,219.0,92.0,60.0,714.0,228.0,816.0,126.0,12734.0,1794.0,10940.0,3682.999999999999,985.9999999999998,841.0000000000005,1018.9999999999987,2813.999999999999,868.9999999999999,1000.0000000000001,2285.9999999999977,261.0,135.99999999999997,425860.0,93096.0,155504.0,8670.0,24731.0,282001.0,148179.0,133822.0,,
Napa,310.0,238.0,302.0,8.0,146.0,105.0,37.0,22.0,217.0,41.0,24.0,8.0,2.0,93.0,21.0,72.0,96.0,95.0,1.0,41.0,31.0,18.0,6.0,51.0,18.0,9.0,175.0,63.0,206.0,32.0,2991.0,417.0,2574.0,1686.0,326.0000000000001,360.99999999999994,414.9999999999999,1279.0,407.0,882.0,462.0000000000003,251.00000000000006,90.99999999999997,139395.0,52030.0,30659.0,2028.0,9178.0,93895.0,47793.0,46102.0,,
Nevada,105.0,222.0,101.0,4.0,90.0,8.0,1.0,6.0,76.0,13.0,4.0,3.0,0.0,23.0,6.0,17.0,36.0,34.0,2.0,33.0,2.0,0.0,1.0,18.0,7.0,3.0,198.0,24.0,177.0,45.0,2221.0,433.0,1788.0,801.9999999999999,164.0,141.00000000000003,313.99999999999994,622.9999999999999,179.00000000000003,718.9999999999999,42.0,18.000000000000004,23.000000000000004,97632.0,57466.0,5586.0,279.0,3037.0,66368.0,33036.0,33332.0,,
Orange,6775.0,7242.0,6511.0,264.0,1703.0,3755.0,664.0,653.0,4926.0,890.0,526.0,235.0,11.0,1616.0,328.0,1288.0,1750.0,1640.0,110.0,570.0,906.0,149.0,125.0,734.0,455.0,362.0,3987.0,3255.0,6231.0,1011.0,67692.0,6042.0,61650.0,23797.999999999993,4709.000000000004,5698.999999999997,9771.000000000011,18157.99999999999,5640.000000000005,10605.000000000005,9816.999999999998,1459.0000000000002,1916.9999999999998,3113370.0,927744.0,690119.0,34337.0,459162.0,2111362.0,1051347.0,1060015.0,,
