County,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other","Jailed, unsentenced","Jailed, sentenced",Men jailed,Women jailed,Part I crimes reported to police (number),Violent crimes reported,Property crimes reported,"Adult felony arrests, total (number)",Violent felony arrests,Property felony arrests,Drug felony arrests,Male felony arrests,Female felony arrests,"White, not Latino, felony arrests",Latino felony arrests,African American felony arrests,Asian/other felony arrests,"Total county population, all ages (number), 2011 census adjusted","White, not Latino population",Latino population,Black population,Asian/other population,"Total adult population, age 18-69","Male population, age 18-69","Female population, age 18-69",At Legislative Analyst-estimated cost per prisoner per year,
Plumas,42.0,59.0,2.0,37.0,11.0,11.0,1.0,1.0,9.0,0.0,9.0,25.0,19.0,4.0,2.0,0.0,26.0,17.0,35.0,8.0,351.0,109.0,242.0,293.0,91.0,45.0,84.0,226.0,67.0,252.0,19.0,11.0,11.0,19993.0,11894.943888313086,990.951767449502,127.28579564782116,704.3940332414295,13717.57548465184,6880.0,6839.0,,
Riverside,3154.0,10089.0,664.0,6215.0,2158.0,1694.0,754.0,70.0,2933.0,503.0,2430.0,3598.0,1158.0,1635.0,713.0,92.0,2459.0,695.0,2776.0,378.0,43062.0,6605.0,36457.0,18420.0,4579.0,4850.0,5205.0,14228.0,4192.0,6805.999999999999,8398.999999999996,2608.9999999999995,606.0,2191800.0,582546.7814959765,596181.3950018723,89512.5544438712,125439.2760083524,1393680.0069500722,693673.0,695769.0,,
Sacramento,4168.0,7226.0,375.0,4919.0,1272.0,948.0,329.0,23.0,2250.0,557.0,1693.0,2154.0,637.0,405.0,898.0,214.0,2447.0,1721.0,3731.0,437.0,40426.0,8551.0,31875.0,16470.0,4498.0,4458.0,4105.0,12734.0,3736.0,6471.000000000003,3092.999999999999,5742.000000000002,1164.0,1420447.0,485608.1345799812,186537.70814650084,93571.15278526489,180747.35845329484,946464.3539650418,463552.0,481036.0,,
San Benito,125.0,141.0,13.0,75.0,30.0,38.0,21.0,3.0,17.0,6.0,11.0,80.0,19.0,60.0,0.0,1.0,86.0,39.0,106.0,19.0,1096.0,213.0,883.0,500.0,164.0,109.0,99.0,387.0,113.0,156.00000000000003,326.0,7.999999999999999,10.0,55350.0,14543.296492596857,19222.812920158707,266.891975385453,1765.8107325120436,35798.812120653056,17864.0,17789.0,,
San Bernardino,5275.0,11280.0,844.0,6403.0,2732.0,2012.0,808.0,136.0,2770.0,620.0,2150.0,5832.0,1696.0,2534.0,1459.0,143.0,4344.0,931.0,4390.0,885.0,43268.0,9017.0,34251.0,29544.0,7382.0,8929.0,8786.0,22522.0,7022.0,9887.000000000007,12907.000000000002,5847.000000000001,903.0,2038771.0,481352.649499131,608260.4695167728,114099.41218048152,119520.43527588132,1323232.9664722665,655783.0,663580.0,,
San Diego,4680.0,11170.0,730.0,6769.0,2494.0,1993.0,605.0,141.0,3807.0,678.0,3129.0,4014.0,1358.0,1410.0,939.0,307.0,3006.0,1674.0,3982.0,698.0,54126.0,11639.0,42487.0,29142.0,8142.0,6842.0,9035.0,22324.0,6818.0,12332.999999999998,9381.999999999996,5303.000000000001,2123.9999999999986,3104581.0,1080884.4811069763,630963.0928066437,105353.05928815906,313110.54618170904,2130311.179383488,1078064.0,1044897.0,,
San Francisco,1698.0,1444.0,82.0,1010.0,246.0,234.0,30.0,6.0,204.0,43.0,161.0,570.0,105.0,83.0,334.0,48.0,1408.0,290.0,1515.0,183.0,15295.0,5808.0,9487.0,13838.0,3053.0,2120.0,5965.0,11307.0,2531.0,2802.503936463612,2530.8685172768937,1473.336448404333,469.4282001479198,807176.9999999987,277705.5316423259,90931.98982954583,34065.295169579345,214973.54866298754,617676.3653044386,320285.0,297364.0,,*Adjusted for San Francisco underreporting of arrests using reported-offense arrest change.
San Joaquin,1164.0,3302.0,166.0,2147.0,727.0,361.0,105.0,5.0,672.0,109.0,563.0,1157.0,321.0,409.0,318.0,109.0,777.0,387.0,1009.0,155.0,22217.0,5524.0,16693.0,8277.0,2281.0,2174.0,1493.0,6481.0,1796.0,3188.000000000001,2879.0,1676.0000000000005,534.0,686761.0,170194.90907589783,157288.50365129893,31993.894461820484,77519.19425095496,436996.5014399722,217865.0,217925.0,,
San Luis Obispo,458.0,722.0,33.0,429.0,169.0,105.0,47.0,5.0,188.0,57.0,131.0,334.0,194.0,100.0,32.0,8.0,256.0,202.0,392.0,66.0,3775.0,717.0,3058.0,2208.0,628.0,541.0,563.0,1716.0,492.0,1452.0000000000002,570.0000000000003,129.0,57.00000000000003,269753.00000000064,137298.9161397112,36305.2171311592,4756.597844355541,11768.052162976237,190128.78327820217,99561.0,90577.0,,
San Mateo,1009.0,1429.0,89.0,982.0,269.0,193.0,86.0,9.0,398.0,90.0,308.0,576.0,158.0,174.0,158.0,86.0,728.0,281.0,885.0,124.0,10415.0,1795.0,8620.0,4882.0,1163.0,1284.0,1571.0,3856.0,1026.0,1449.0000000000014,1699.9999999999993,864.9999999999999,867.9999999999997,719581.9999999992,207977.65248853277,121190.14435976153,13822.57803319419,149187.61628087162,492177.9911623601,243661.0,247241.0,,
